list_year,fiscal_year,population,firms,total_revenue_usd,median_revenue_usd,mean_revenue_usd,p25_revenue_usd,p75_revenue_usd,floor_revenue_usd,top_revenue_usd,median_rev_per_employee_usd,median_employees
2009,2008,all_as_published,100,658749302,4500000.0,6587493.02,2955103.75,7845345.0,2190000,38603438,187062.75,25.0
2009,2008,excl_five_outliers,99,620145864,4500000,6264099.636363637,2948210.0,7500000.0,2190000,26847972,187500,25
2010,2009,all_as_published,100,543402539,3216484.0,5434025.39,2139033.25,5901972.75,1311136,39860989,175419.32142857148,20.0
2010,2009,excl_five_outliers,99,503541550,3126721,5086278.282828283,2118711.0,5700000.0,1311136,28970000,175838.642857143,20
2011,2010,all_as_published,101,608724038,3363961,6026970.673267326,2235549.0,5644222.5,1551611,50000000,175732.410714286,20
2011,2010,excl_five_outliers,98,514764776,3212334.0,5252701.795918368,2212523.5,5509611.25,1551611,32965826,178000.0,20.0
2012,2011,all_as_published,100,1448094321,3800000.0,14480943.21,2765125.75,5658359.75,2000000,680000000,194399.12987012952,20.0
2012,2011,excl_five_outliers,96,528056515,3662070.0,5500588.697916667,2710480.0,5564000.0,2000000,31000000,195143.91509433952,20.0
2013,2012,all_as_published,101,1559390437,3742000,15439509.277227722,2631875.0,6610000.0,2000000,731000000,190476.19047619,22
2013,2012,excl_five_outliers,97,544124682,3629000,5609532.804123712,2582105.5,5761437.5,2000000,32580000,191818.181818182,21
2014,2013,all_as_published,100,1740669621,3500000.0,17406696.21,2634246.0,6029606.0,1680000,755600000,176836.75575447548,20.0
2014,2013,excl_five_outliers,96,525253374,3450146.0,5471389.3125,2622675.0,5553699.5,1680000,67001848,182375.0,19.0
2015,2014,all_as_published,100,1841400403,4425500.0,18414004.03,3077463.0,7388319.5,2108198,648990000,200000.0,22.0
2015,2014,excl_five_outliers,96,640826391,4275897.5,6675274.90625,3043757.0,6367500.0,2108198,73888068,202186.630952381,21.0
2016,2015,all_as_published,101,2134586951,4920000,21134524.26732673,3500000.0,8833825.0,2900000,653700000,199358.1875,23
2016,2015,excl_five_outliers,97,668265520,4528050,6889335.257731959,3500000.0,7500000.0,2900000,35000000,200000,23
2017,2016,all_as_published,100,2625534774,4948465.5,26255347.74,3600000.0,8530750.0,2390087,757907000,203146.5208333335,23.5
2017,2016,excl_five_outliers,96,684982380,4871365.0,7135233.125,3525000.0,7442696.25,2390087,34317000,206076.62045454548,23.0
2018,2017,all_as_published,102,3576661655,5265110.5,35065310.34313726,3855400.0,8012500.0,2614406,1000000000,208018.202317291,24.0
2018,2017,excl_five_outliers,98,708102057,5102132.5,7225531.193877551,3825750.0,7438315.5,2614406,52000000,211759.18,23.0
2019,2018,all_as_published,101,2038101753,5298564,20179225.277227722,3574993.5,8557688.5,2840272,1050000000,216666.666666667,24
2019,2018,excl_five_outliers,99,773270244,5283854,7810810.545454546,3560959.0,8503773.0,2840272,61000000,217648.936170213,24
2020,2019,all_as_published,100,2554042691,5751379.0,25540426.91,4020618.0,9942769.5,3000000,1156000000,224357.9,25.0
2020,2019,excl_five_outliers,97,1033098882,5653010,10650503.93814433,4000000.0,9700000.0,3000000,118679000,226120.4,25
2021,2020,all_as_published,100,7892932988,5730461.0,78929329.88,4142864.75,9500000.0,2528757,5315000000,219256.8981481485,25.0
2021,2020,excl_five_outliers,96,1003314469,5600000.0,10451192.385416666,4118190.0,8759410.5,2528757,123526000,217259.2592592595,25.0
2022,2021,all_as_published,100,8295257065,6567825.0,82952570.65,4702000.0,11142996.25,3253268,5307000000,240583.96111111098,27.0
2022,2021,excl_five_outliers,96,1187413364,6190000.0,12368889.208333334,4636302.5,9887147.25,3253268,134924000,238094.4392857145,27.0
2023,2022,all_as_published,100,7730721630,6800000.0,77307216.3,4950500.0,11874353.75,2950000,6395000000,247543.3919148935,27.5
2023,2022,excl_five_outliers,98,1153940909,6790250.0,11774907.234693877,4912333.5,11720552.0,2950000,146859000,246225.901480111,26.0
2024,2023,all_as_published,100,1800758909,7037778.0,18007589.09,4275042.75,12531668.0,1100000,448470000,257620.9417314095,26.0
2024,2023,excl_five_outliers,98,1163406714,6947311.5,11871497.081632653,4240169.5,12040352.0,1100000,149950000,257620.9417314095,25.0
2025,2024,all_as_published,100,1734836097,6706038.0,17348360.97,3880000.0,10556750.0,1470000,587760000,265936.180327869,22
2025,2024,excl_five_outliers,98,946402034,6614038.0,9657163.612244898,3836250.0,10074494.0,1470000,144950000,265936.180327869,21
2026,2025,all_as_published,101,8271792544.93,4556563,81898936.08841585,2654165.0,8610023.5,1038939,5128607000,275941.06666666653,17.0
2026,2025,excl_five_outliers,98,784774544.9300001,4505709.0,8007903.5196938785,2560660.7275,8016785.0,1038939,151785000,275200,17
