list_year,prior_list_year,matched_firms,same_store_median_growth,same_store_mean_growth,same_store_total_growth,list_level_median_change,list_level_total_change,list_level_mean_change
2010,2009,69,-0.16000000000000003,-0.13549672926650477,-0.14149954661243525,-0.3051731111111111,-0.188027238056368,-0.18802723805636812
2011,2010,67,-0.04973946161170262,-0.05277444811871723,-0.043284158638982384,0.027381080691241788,0.02228857976069709,0.03272009588070435
2012,2011,72,0.13003367003367006,0.1791171979813327,0.051123434567327264,0.14000287641322484,0.025820995568663463,0.0471922663096771
2013,2012,73,0.013371428617078074,0.032072802515534,0.01399838189873237,-0.009030411761653978,0.030428877484827588,0.019805899366427182
2014,2013,75,0.08693067866776061,0.135310210075104,0.09199997509612645,-0.04928465141912375,-0.03468195548607733,-0.02462655918905743
2015,2014,70,0.18041709090909097,0.3932537086799537,0.29248225975052966,0.2393381323572974,0.22003288835608692,0.22003288835608692
2016,2015,67,0.07898153691457943,0.08091800734111053,0.04536018636422301,0.05897066054553468,0.04281835046958915,0.032067645825572866
2017,2016,77,0.060975609756097615,0.09488878195723097,0.08892308014647865,0.07581961329932319,0.025015296315153313,0.03569253898510283
2018,2017,75,0.04174243937609212,0.04167117700217382,0.05108781912233851,0.04737224576684351,0.033752221480499944,0.012655237368653038
2019,2018,85,0.04704616965165975,0.06158893943263482,0.06729856035761883,0.03561677396657181,0.09203219557940079,0.08100156734122521
2020,2019,73,0.05831689361497383,0.14695850249247278,0.24439432221243917,0.06986491299721753,0.3360127200239196,0.36355937404503136
2021,2020,85,0.040841260880189356,0.026862040904761356,0.014928318927739825,-0.009377305187855622,-0.028830166713896377,-0.018713814283832897
2022,2021,82,0.1441933483812613,0.1763177552314067,0.19781662384783183,0.10535714285714293,0.18349072069447048,0.1834907206944707
2023,2022,81,0.09894651539708277,0.11680887799350959,0.08788488779358472,0.09697092084006464,-0.02818938712904695,-0.04802225677947469
2024,2023,77,0.03858117350032075,0.054956906491570534,0.04319960605947748,0.02313044438717271,0.008203024025037031,0.008203024025037031
2025,2024,80,0.010316981132075576,0.048514482590987035,-0.03772248608008444,-0.047971578645926605,-0.1865252085866852,-0.1865252085866852
2026,2025,56,0.08028180407218055,0.0992810859443053,0.07487381355100209,-0.31876578271851475,-0.17078100348841807,-0.17078100348841807
