list_year,cohort_firms,cohort_total_revenue_usd,cohort_median_revenue_usd
2009,6,72625341,6973014.5
2010,6,69516134,5282559.0
2011,6,71632566,5867672.5
2012,6,68664348,6150027.5
2013,6,66649951,6102007.0
2014,6,70351940,6535538.0
2015,6,79311913,8193744.0
2016,6,83928116,8833825.0
2017,6,89304888,8982032.5
2018,6,99005496,9139941.5
2019,6,103955121,10002209.0
2020,6,180820924,10160365.5
2021,6,178273743,10486311.0
2022,6,195667583,10790323.0
2023,6,214889995,12680623.5
2024,6,227400081,15678065.5
2025,6,217541309,14223588.0
2026,6,225568848,16925141.0
