list_year,firms,new_entrants,exits,retained,retention_rate
2009,100,,,,
2010,100,30,30,70,0.7
2011,101,33,32,68,0.68
2012,100,25,26,75,0.7425742574257426
2013,101,24,23,77,0.77
2014,100,21,22,79,0.7821782178217822
2015,100,26,26,74,0.74
2016,101,30,29,71,0.71
2017,100,19,20,81,0.801980198019802
2018,102,23,21,79,0.79
2019,101,14,15,87,0.8529411764705882
2020,100,25,26,75,0.7425742574257426
2021,100,12,12,88,0.88
2022,100,14,14,86,0.86
2023,100,17,17,83,0.83
2024,100,21,21,79,0.79
2025,100,18,18,82,0.82
2026,101,43,42,58,0.58
