list_year,revenue_band,firms,share
2009,c. $2M-3M,26,0.26262626262626265
2009,d. $3M-5M,30,0.30303030303030304
2009,e. $5M-10M,26,0.26262626262626265
2009,f. $10M-25M,15,0.15151515151515152
2009,g. $25M+,2,0.020202020202020204
2010,b. $1M-2M,20,0.20202020202020202
2010,c. $2M-3M,26,0.26262626262626265
2010,d. $3M-5M,27,0.2727272727272727
2010,e. $5M-10M,15,0.15151515151515152
2010,f. $10M-25M,8,0.08080808080808081
2010,g. $25M+,3,0.030303030303030304
2011,b. $1M-2M,19,0.19387755102040816
2011,c. $2M-3M,25,0.25510204081632654
2011,d. $3M-5M,25,0.25510204081632654
2011,e. $5M-10M,18,0.1836734693877551
2011,f. $10M-25M,8,0.08163265306122448
2011,g. $25M+,3,0.030612244897959183
2012,c. $2M-3M,29,0.3020833333333333
2012,d. $3M-5M,36,0.375
2012,e. $5M-10M,20,0.20833333333333334
2012,f. $10M-25M,9,0.09375
2012,g. $25M+,2,0.020833333333333332
2013,c. $2M-3M,34,0.35051546391752575
2013,d. $3M-5M,30,0.30927835051546393
2013,e. $5M-10M,20,0.20618556701030927
2013,f. $10M-25M,12,0.12371134020618557
2013,g. $25M+,1,0.010309278350515464
2014,b. $1M-2M,7,0.07291666666666667
2014,c. $2M-3M,29,0.3020833333333333
2014,d. $3M-5M,31,0.3229166666666667
2014,e. $5M-10M,21,0.21875
2014,f. $10M-25M,6,0.0625
2014,g. $25M+,2,0.020833333333333332
2015,c. $2M-3M,21,0.21875
2015,d. $3M-5M,35,0.3645833333333333
2015,e. $5M-10M,27,0.28125
2015,f. $10M-25M,10,0.10416666666666667
2015,g. $25M+,3,0.03125
2016,c. $2M-3M,4,0.041237113402061855
2016,d. $3M-5M,48,0.4948453608247423
2016,e. $5M-10M,28,0.28865979381443296
2016,f. $10M-25M,13,0.13402061855670103
2016,g. $25M+,4,0.041237113402061855
2017,c. $2M-3M,7,0.07291666666666667
2017,d. $3M-5M,45,0.46875
2017,e. $5M-10M,27,0.28125
2017,f. $10M-25M,13,0.13541666666666666
2017,g. $25M+,4,0.041666666666666664
2018,c. $2M-3M,7,0.07142857142857142
2018,d. $3M-5M,41,0.41836734693877553
2018,e. $5M-10M,36,0.3673469387755102
2018,f. $10M-25M,11,0.11224489795918367
2018,g. $25M+,3,0.030612244897959183
2019,c. $2M-3M,8,0.08080808080808081
2019,d. $3M-5M,39,0.3939393939393939
2019,e. $5M-10M,34,0.3434343434343434
2019,f. $10M-25M,14,0.1414141414141414
2019,g. $25M+,4,0.04040404040404041
2020,d. $3M-5M,36,0.3711340206185567
2020,e. $5M-10M,40,0.41237113402061853
2020,f. $10M-25M,14,0.14432989690721648
2020,g. $25M+,7,0.07216494845360824
2021,c. $2M-3M,4,0.041666666666666664
2021,d. $3M-5M,34,0.3541666666666667
2021,e. $5M-10M,40,0.4166666666666667
2021,f. $10M-25M,12,0.125
2021,g. $25M+,6,0.0625
2022,d. $3M-5M,30,0.3125
2022,e. $5M-10M,43,0.4479166666666667
2022,f. $10M-25M,16,0.16666666666666666
2022,g. $25M+,7,0.07291666666666667
2023,c. $2M-3M,1,0.01020408163265306
2023,d. $3M-5M,26,0.2653061224489796
2023,e. $5M-10M,41,0.41836734693877553
2023,f. $10M-25M,24,0.24489795918367346
2023,g. $25M+,6,0.061224489795918366
2024,b. $1M-2M,3,0.030612244897959183
2024,c. $2M-3M,7,0.07142857142857142
2024,d. $3M-5M,25,0.25510204081632654
2024,e. $5M-10M,33,0.336734693877551
2024,f. $10M-25M,23,0.23469387755102042
2024,g. $25M+,7,0.07142857142857142
2025,b. $1M-2M,3,0.030612244897959183
2025,c. $2M-3M,11,0.11224489795918367
2025,d. $3M-5M,22,0.22448979591836735
2025,e. $5M-10M,37,0.37755102040816324
2025,f. $10M-25M,20,0.20408163265306123
2025,g. $25M+,5,0.05102040816326531
2026,b. $1M-2M,16,0.16326530612244897
2026,c. $2M-3M,12,0.12244897959183673
2026,d. $3M-5M,27,0.2755102040816326
2026,e. $5M-10M,24,0.24489795918367346
2026,f. $10M-25M,16,0.16326530612244897
2026,g. $25M+,3,0.030612244897959183
