population,revenue_band,firms,share
On the 2026 list (printed),b. $1M-2M,16,0.1633
On the 2026 list (printed),c. $2M-3M,12,0.1224
On the 2026 list (printed),d. $3M-5M,27,0.2755
On the 2026 list (printed),e. $5M-10M,24,0.2449
On the 2026 list (printed),f. $10M-25M,16,0.1633
On the 2026 list (printed),g. $25M+,3,0.0306
Active alumni (left the list),b. $1M-2M,1,0.0049
Active alumni (left the list),c. $2M-3M,3,0.0146
Active alumni (left the list),d. $3M-5M,44,0.2136
Active alumni (left the list),e. $5M-10M,95,0.4612
Active alumni (left the list),f. $10M-25M,45,0.2184
Active alumni (left the list),g. $25M+,18,0.0874
Never listed (roster and buying-group),a. under $1M,24,0.1116
Never listed (roster and buying-group),b. $1M-2M,54,0.2512
Never listed (roster and buying-group),c. $2M-3M,41,0.1907
Never listed (roster and buying-group),d. $3M-5M,43,0.2
Never listed (roster and buying-group),e. $5M-10M,35,0.1628
Never listed (roster and buying-group),f. $10M-25M,16,0.0744
Never listed (roster and buying-group),g. $25M+,2,0.0093
