firm_id,list_year,fiscal_year,rank,tie,state,revenue_usd,residential_installs,commercial_installs,employees,pct_rmr,rev_per_employee_usd,revenue_band,years_in_business,business_outlook,verified_by_publisher,outlier_excluded_from_excl_metrics
F0001,2009,2008,1,N,PA,38603438,52309,,1500,,25736,g. $25M+,58,,,Y
F0002,2009,2008,2,N,TX,26847972,1408,,112,,239714,g. $25M+,22,,Y,N
F0003,2009,2008,3,N,NY,26700000,160,,110,,242727,g. $25M+,34,,,N
F0004,2009,2008,4,N,CA,23675000,1923,,67,,353358,f. $10M-25M,28,,Y,N
F0005,2009,2008,5,N,NY,18000000,100,,56,,321429,f. $10M-25M,31,,Y,N
F0006,2009,2008,6,N,CA,15216859,3000,,130,,117053,f. $10M-25M,10,,,N
F0007,2009,2008,7,N,FL,14100000,238,,88,,160227,f. $10M-25M,22,,Y,N
F0008,2009,2008,8,N,MD,14000000,2400,,145,,96552,f. $10M-25M,54,,Y,N
F0009,2009,2008,9,N,CT,13634210,152,,30,,454474,f. $10M-25M,14,,Y,N
F0010,2009,2008,10,N,NY,13068146,229,,50,,261363,f. $10M-25M,27,,Y,N
F0011,2009,2008,11,N,CA,12188499,2500,,100,,121885,f. $10M-25M,25,,Y,N
F0012,2009,2008,12,N,CA,11378066,30,,53,,214680,f. $10M-25M,16,,Y,N
F0013,2009,2008,13,N,AL,11100000,75,,50,,222000,f. $10M-25M,10,,,N
F0014,2009,2008,13,N,NJ,11100000,75,,53,,209434,f. $10M-25M,22,,,N
F0015,2009,2008,15,N,MA,11000000,175,,50,,220000,f. $10M-25M,35,,Y,N
F0016,2009,2008,16,N,MD,10775000,,,,,,f. $10M-25M,32,,Y,N
F0017,2009,2008,17,N,WA,10597040,271,,62,,170920,f. $10M-25M,34,,Y,N
F0018,2009,2008,18,N,PA,10000000,1500,,60,,166667,f. $10M-25M,54,,Y,N
F0019,2009,2008,19,N,CA,9981483,,,45,,221811,e. $5M-10M,54,,,N
F0020,2009,2008,20,N,CA,9824092,40,,48,,204669,e. $5M-10M,15,,,N
F0021,2009,2008,21,N,?Okla.,9800000,450,,62,,158065,e. $5M-10M,25,,Y,N
F0022,2009,2008,22,N,PA,9612920,,,68,,141366,e. $5M-10M,30,,Y,N
F0023,2009,2008,23,N,AZ,9388000,150,,45,,208622,e. $5M-10M,14,,Y,N
F0024,2009,2008,24,N,NY,9323611,250,,60,,155394,e. $5M-10M,15,,Y,N
F0025,2009,2008,25,N,NY,7960460,84,,22,,361839,e. $5M-10M,22,,Y,N
F0026,2009,2008,26,N,MN,7500000,240,,60,,125000,e. $5M-10M,18,,Y,N
F0027,2009,2008,27,N,MO,7200000,750,,43,,167442,e. $5M-10M,26,,Y,N
F0028,2009,2008,28,N,TX,7075000,1200,,88,,80398,e. $5M-10M,33,,Y,N
F0029,2009,2008,29,N,AZ,7021000,,,,,,e. $5M-10M,8,,Y,N
F0030,2009,2008,30,N,NV,7000000,1600,,50,,140000,e. $5M-10M,23,,Y,N
F0031,2009,2008,30,N,UT,7000000,120,,42,,166667,e. $5M-10M,8,,Y,N
F0032,2009,2008,32,N,NY,6406387,100,,20,,320319,e. $5M-10M,20,,Y,N
F0033,2009,2008,33,N,UT,6352422,150,,45,,141165,e. $5M-10M,15,,,N
F0034,2009,2008,34,N,CA,5985569,36,,17,,352092,e. $5M-10M,14,,Y,N
F0035,2009,2008,35,N,?Alberta Canada,5800000,2600,,35,,165714,e. $5M-10M,16,,Y,N
F0036,2009,2008,36,N,AZ,5600000,3125,,45,,124444,e. $5M-10M,14,,Y,N
F0037,2009,2008,37,N,?N.H.,5500000,50,,23,,239130,e. $5M-10M,5,,Y,N
F0038,2009,2008,38,N,TX,5400000,60,,25,,216000,e. $5M-10M,13,,,N
F0039,2009,2008,39,N,MN,5225514,156,,28,,186626,e. $5M-10M,19,,,N
F0040,2009,2008,40,N,MD,5200000,1350,,25,,208000,e. $5M-10M,15,,,N
F0041,2009,2008,41,N,IN,5111233,110,,28,,182544,e. $5M-10M,12,,Y,N
F0042,2009,2008,42,N,TX,5000000,450,,40,,125000,e. $5M-10M,23,,Y,N
F0043,2009,2008,42,N,NY,5000000,400,,45,,111111,e. $5M-10M,30,,Y,N
F0044,2009,2008,44,N,VA,5000000,100,,27,,185185,e. $5M-10M,30,,Y,N
